question_clean	options_formatted	correct_letter
A 38-year-old nulliparous woman with type 1 diabetes attends the antenatal clinic at 6 weeks' gestation. Which of the following is not an increased risk in her pregnancy?	A. Neural tube defects | B. Macrosomia | C. Congenital heart disease | D. Oligohydramnios | E. Pre-eclampsia	D
A 30-year-old para 2 woman with a BMI of 45 attends the antenatal clinic at 10 weeks gestation. One of the following is incorrect with respect to the associated risks and counselling?	A. lncreased risk of venous thromboembolism | B. Increased risk of pre-eclampsia | C. Folic acid 5 mg once a day supplementation | D. Vitamin D 100 micrograms daily supplementation during pregnancy | E. Increased risk of gestational diabetes	D
A 28-year-old para 1 woman with a dichorionic diamniotic (DCDA) twin pregnancy attends her antenatal appointment at 20 weeks' gestation. She is at risk of developing the following complications with the exception of which of the following?	A. Twin-to-twin transfusion syndrome | B. Pre-eclampsia | C. Postpartum haemorrhage | D. Fetal growth restriction | E. Preterm labour	A
Which one of the following statements is false with respect to the risks of advanced maternal age?	A. Increased risk of pre-eclampsia | B. No increase or decrease in the stillbirth rate | C. Increased rate of instrumental delivery | D. Increased risk of gestational diabetes | E. Increased rate of caesarean section	C
In relation to the treatment of BV, which one of the following statements is true?	A. Routine treatment of male partners is recommended. | B. Vaginal douching is beneficial for symptomatic improvement. | C. Metronidazole is not safe during the first trimester of pregnancy. | D. Clindamycin 2% Intravaginal cream is not effective. | E. Recurrent BV is difficult to manage as it can recur in up to 70% of females within 3 months of treatment	C
Which one of the following statements is not true with respect to bacterial vaginosis (BV)?	A. Isolation of Gardnerella vaginalis on high vaginal swab culture is diagnostic of BV. | B. Vaginal pH is increased and is typically more than 4.5. | C. Presence of 'clue cells on microscopy is diagnostic of bacterial vaginosis. | D. It is associated with preterm labour or miscarriage. | E. It is the commonest cause of abnormal vaginal discharge in women of reproductive age.	A
A 22-year-old Asian woman is admitted to the hospital with an incomplete miscarriage at 11 weeks' gestation. She subsequently has surgical evacuation of the uterus. The histology reveals focal hydropic placental villi interspersed with normal villi and presence of fetal tissue. Which of the following is the most likely karyotype and parental chromosomal origin?	A. 46 XX, maternal | B. 46 XX, paternal | C. 46 XY, paternal | D. 69 XXY, paternal | E. 69 XXY, paternal and maternal	E
A 22-year-old Asian woman is admitted to the hospital with an incomplete miscarriage at 11 weeks' gestation. She subsequently has surgical evacuation of the uterus. The histology reveals a large mass with hydropic changes in all the placental villi with no fetal tissue. Which of the following is the most likely karyotype and parental chromosomal origin?	A. 46 XX, maternal | B. 46 XX, paternal | C. 46 XY, paternal | D. 69 XXY, paternal | E. 69 XXY, paternal and maternal	C
A 30-year-old woman presents to the early pregnancy unit with mild vaginal bleeding. An ultrasound is performed, which reports a complete molar pregnancy. What would be the parental origin and genetic complement of the complete molar pregnancy?	A. 2 paternal sets: diploid | B. 2 paternal sets: haploid | C. 1 paternal set: haploid | D. 2 paternal and 2 maternal sets: tetraploid | E. 1 maternal and 1 paternal set: diploid	A
A 22-year-old Asian woman is admitted to the hospital with an incomplete miscarriage at 11 weeks' gestation. An ultrasound shows a 'snowstorm appearance. She passes grape-like vesicles through the vagina. She subsequently has a surgical evacuation of the uterus. The histology reveals a large mass with hydropic changes in all the placental villi and no fetal tissue. She is followed up with serum beta human chorionic gonadotrophin (beta h CG) levels. There was an initial fall but it started to rise gradually (10,000 units/m L) at 3 months' follow-up. Her CT scan chest, abdomen and pelvis are normal except localized thickened vascular area in the posterior wall of uterus. What is the likely diagnosis?	A. Gestational choriocarcinoma | B. Persistent trophoblastic disease | C. Non-invasive mole | D. Non-gestational choriocarcinoma | E. Placental site trophoblastic disease	E
All the following statements are correct except;	A. Condition for vacuum extraction are fetal head at least 0 station or not more than 2/5 above the symphysis pubis and a fully dilated cervix | B. Ahead that is felt in the flank on abdominal examination indicates a shoulder presentation or transverse lie | C. If labour is prolonged in the case of a breach presentation, a cesarean section should be performed | D. Manual vacuum aspiration (MVA) is an effective method for treatment of incomplete abortion if the uterine size is not greater than 8 weeks | E. Breast pain and tenderness 3 to 5 days after childbirth is usually due to breast enlargement.	E
The following are true regarding uterine fibroids	A. Are composed mainly of fibroids tissue | B. About 10% undergo malignant degeneration | C. Are more common multiparous woman | D. May protrude through the cervix | E. Commonly arise from the cervix	D
A woman is admitted in first stage of active labour, with cervical dilatation at 5 cm.   You plot a cervical dilatation on which part of partograph	A. Alert line | B. Action line | C. Between alert and action | D. Left to the alert line | E. Right to the action line	A
The Single most important procedure for preventing the spread of infection is;	A. Wearing gloves | B. Decontamination | C. Hand washing | D. Wearing protective clothing during very dirty procedures | E. Avoid handshakes	C
Respective care at birth includes these except:	A. Speaking kindly to the woman | B. Do not let the laboring woman drink or eat in case she vomits | C. Allowing the laboring woman to drink or eat | D. Allowing the laboring woman to deliver in any position she wants | E. Allow the laboring woman a companion of her choice.	B
Which of the following is most effective in reducing maternal mortality?	A. Assessing women for risks to decide who needs special care | B. Training traditional birth attendants. | C. Delivery with a skilled birth attendant | D. Active management of 3rd stage of labour | E. All of the above	C
Which of the following statements are true;	A. The bethseda classification has 4 categories | B. The squamous zone is prone to dysplasia | C. The screening by pap smear is not useful in developing countries | D. HPV type 16 is the most common HPV in woman with abnormal cervical smear | E. Exposed lesions are associated with increased chance of failure of cryotherapy in the treatment of abnormal cervical smear	D
Regarding chronic pelvic pain	A. Colposcopy has a great role in evaluation | B. Is best managed with opioids | C. Avoidance/conflict related to sex and intimacy is a common co- symptom | D. These patients should be sent for psychotherapy while awaiting investigations | E. Identification of pelvic pathology excludes a psychogenic cause	C
Concerning maternal mortality	A. Kenya has almost attained the MDG target | B. Death from HIV in pregnancy is a direct maternal death | C. The big five causes of direct maternal deaths in Kenya are haemorrhage sepsis hypertensive disease abortion and obstructed labour | D. Maternal mortality fate and ratio are the same | E. The target of MDGS is to reduce maternal mortality ratio by 50% by 2015	C
Regarding normal deliveries	A. Posterior shoulder is delivered before anterior | B. Restitution is alignment of fetal head with shoulders | C. Brow is easily delivered vaginally | D. The engaging diameter of fetal head is 10.5 cm | E. Extension precedes flexion	B
During the repair of a type 1 vesicovaginal fistula;	A. The bladder is closed in 2 layers | B. The vaginal mucosa is closed in 3 layers | C. The bladder is closed in 3 layers | D. The bladder is closed in 1 layer | E. The vaginal mucosa is closed in 2 layers	D
The following is not true of endometriosis	A. Infertility is a common association | B. Haematuria or haematochezia may occur | C. It is in multiparous women | D. May occur in distant organs like the lungs. | E. The commonest sites are visceral peritoneal surfaces of pelvic organ	C
